Number of constraints,Runtime [ms],Utility,Number of paths
1,89,41118,2
2,402,41030,3
3,1548,40963,4
4,6033,40865,5
5,23466,40858,6
6,90632,40773,7
7,455975,40716,8
8,1745695,40642,9
9,6596014,40558,10
10,22784503,40470,11
11,90036033,40404,12
