Number of constraints,Runtime [ms],Utility,Number of paths
1,25,39891,1
2,91,39849,2
3,395,39727,3
4,1649,39661,4
5,6559,39489,5
6,25169,39237,6
7,101599,39183,7
8,457860,39083,8
9,1794499,39068,9
10,6888060,39022,10
11,27048802,38948,11
