Number of constraints,Runtime [ms],Utility,Number of paths
1,25,41429,1
2,94,41247,2
3,405,41186,3
4,1515,41134,4
5,6018,41062,5
6,23055,40944,6
7,90630,40911,7
8,348197,40869,8
9,1841435,40757,9
10,6563815,40729,10
11,26739279,40453,11
