Number of constraints,Runtime [ms],Utility,Number of paths
1,24,43166,1
2,93,43144,2
3,396,43064,3
4,1519,43059,4
5,5823,42967,5
6,26821,42789,6
7,102290,42738,7
8,402344,42718,8
9,1525546,42660,9
10,6753999,42600,10
11,27087544,42599,11
