Number of constraints,Runtime [ms],Utility,Number of paths
1,25,42385,1
2,93,42225,2
3,414,42183,3
4,1566,42106,4
5,5925,41806,5
6,23564,41684,6
7,104499,41594,7
8,408343,41504,8
9,1571478,41374,9
10,6042251,41054,10
11,23439444,40990,11
