Number of constraints,Runtime [ms],Utility,Number of paths
1,24,36874,1
4,1538,36710,4
3,394,36718,3
2,93,36802,2
5,5960,36692,5
6,23494,36485,6
7,88531,36437,7
8,346187,36329,8
9,1797902,36179,9
10,7138397,36171,10
11,27532811,35994,11
