Number of constraints,Runtime [ms],Utility,Number of paths
1,25,43057,1
2,91,43039,2
3,400,42960,3
4,1587,42818,4
5,6297,42800,5
6,23978,42623,6
7,92190,42479,7
8,369691,42337,8
9,1373231,42303,9
10,6804862,42174,10
11,27622948,42096,11
