Number of constraints,Runtime [ms],Utility,Number of paths
1,25,42384,1
2,85,42320,2
3,360,42236,3
4,1484,42222,4
5,5853,42096,5
6,23338,41826,6
7,88974,41736,7
8,346819,41685,8
9,1774500,41648,9
10,6769888,41468,10
11,25272484,41403,11
