Number of constraints,Runtime [ms],Utility,Number of paths
1,27,41517,1
2,82,41455,2
3,379,41311,3
4,1666,41203,4
5,6529,41097,5
6,24767,41092,6
7,96185,41007,7
8,370848,40938,8
9,1441749,40906,9
10,6749342,40828,10
11,27125587,40730,11
