Number of constraints,Runtime [ms],Utility,Number of paths
2,88,40455,2
3,365,40409,3
4,1466,40363,4
1,22,40698,1
5,7008,40359,5
6,28307,40326,6
7,106845,40225,7
8,407029,40153,8
9,1549213,40093,9
10,6034304,40010,10
11,23637337,39880,11
