Number of constraints,Runtime [ms],Utility,Number of paths
1,24,42130,1
2,94,41932,2
3,399,41776,3
4,1533,41670,4
5,7104,41613,5
6,27860,41502,6
7,107325,41475,7
8,414202,41340,8
9,1576281,41312,9
10,6807408,41235,10
11,28184980,41153,11
