Number of constraints,Runtime [ms],Utility,Number of paths
1,24,38615,1
2,92,38533,2
3,383,38521,3
4,1678,38476,4
5,6871,38459,5
6,26328,38443,6
7,100728,38287,7
8,381722,38213,8
9,1498447,38133,9
10,5736598,38107,10
11,22390245,38010,11
