Number of constraints,Runtime [ms],Utility,Number of paths
1,28,39425,1
2,86,39396,2
3,364,39377,3
4,1552,39179,4
5,6647,39133,5
6,25803,38965,6
7,101136,38894,7
8,383854,38778,8
9,1492466,38752,9
10,6639468,38706,10
11,26587877,38542,11
