Number of constraints,Runtime [ms],Utility,Number of paths
1,25,36433,1
2,92,36361,2
3,1628,36223,4
4,6232,36182,5
5,24377,36156,6
6,94120,36030,7
7,378996,35947,8
8,1387058,35893,9
9,7681593,35835,10
10,30175295,35744,11
11,93753487,35582,12
