Number of constraints,Runtime [ms],Utility,Number of paths
1,25,40005,1
2,94,39914,2
3,381,39854,3
4,1532,39826,4
5,6022,39715,5
6,22815,39654,6
7,88089,39640,7
8,450189,39557,8
9,1724668,39514,9
10,6576499,39358,10
11,25486777,39335,11
