Number of constraints,Runtime [ms],Utility,Number of paths
1,25,34904,1
2,94,34810,2
3,418,34730,3
4,6771,34616,5
5,26015,34464,6
6,101319,34227,7
7,385264,34223,8
8,1484568,34167,9
9,6676145,34023,10
10,23045663,33972,11
11,93741399,33786,12
