Number of constraints,Runtime [ms],Utility,Number of paths
1,25,44465,1
2,94,44464,2
3,388,44463,3
4,1493,44403,4
5,6853,44362,5
6,27526,44216,6
7,104158,44120,7
8,399861,44099,8
9,1537664,43999,9
10,7003360,43534,10
11,27576979,43507,11
