Number of constraints,Runtime [ms],Utility,Number of paths
1,24,42672,1
2,92,42317,2
3,361,42155,3
4,1515,42090,4
5,6069,42042,5
6,28178,41997,6
7,106998,41987,7
8,409494,41973,8
9,1620808,41963,9
10,6795796,41907,10
11,27108964,41787,11
