Number of constraints,Runtime [ms],Utility,Number of paths
1,24,41556,1
2,91,41252,2
3,385,41072,3
4,1461,41022,4
5,5550,40932,5
6,21917,40908,6
7,110471,40834,7
8,441013,40815,8
9,1670867,40755,9
10,6872544,40580,10
11,27146158,40540,11
