Number of constraints,Runtime [ms],Utility,Number of paths
1,24,40774,1
2,97,40582,2
3,359,40435,3
4,1396,40315,4
5,5359,40264,5
6,27770,40224,6
7,111345,40145,7
8,414874,39887,8
9,1598627,39755,9
10,6856882,39751,10
11,27213542,39615,11
