Number of constraints,Runtime [ms],Utility,Number of paths
1,25,40176,1
2,86,40130,2
3,355,40018,3
4,1405,39951,4
5,5994,39761,5
6,22828,39619,6
7,112500,39491,7
8,436959,39409,8
9,1657768,39362,9
10,6370531,39281,10
11,24380799,39189,11
