Number of constraints,Runtime [ms],Utility,Number of paths
1,24,38489,1
2,92,38303,2
3,371,38153,3
4,1551,38097,4
5,6286,38033,5
6,23894,37958,6
7,92978,37940,7
8,366899,37890,8
9,1385199,37888,9
10,7154173,37793,10
11,28658200,37681,11
