Number of constraints,Runtime [ms],Utility,Number of paths
1,27,41035,1
2,91,40977,2
3,385,40905,3
4,1637,40848,4
5,6579,40834,5
6,24767,40784,6
7,96298,40607,7
8,370651,40513,8
9,1428871,40441,9
10,6942666,40367,10
11,27320725,40331,11
