Number of constraints,Runtime [ms],Utility,Number of paths
1,23,42341,1
2,84,42302,2
3,376,42218,3
4,1446,42211,4
5,5253,42203,5
6,27400,42055,6
7,110326,41863,7
8,416447,41626,8
9,1593763,41614,9
10,6714717,41371,10
11,24551935,41140,11
