Number of constraints,Runtime [ms],Utility,Number of paths
1,25,43520,1
2,90,43368,2
3,393,43328,3
4,1526,43106,4
5,7099,43046,5
6,27941,42992,6
7,108114,42731,7
8,415579,42639,8
9,1562843,42551,9
10,6958954,42509,10
11,27803175,42506,11
