Number of constraints,Runtime [ms],Utility,Number of paths
1,21,37401,1
2,79,37398,2
3,347,37314,3
4,1342,37270,4
5,5228,37232,5
6,23226,37206,6
7,90010,37161,7
8,344706,36979,8
9,1429759,36922,9
10,6885082,36866,10
11,26610193,36820,11
