Number of constraints,Runtime [ms],Utility,Number of paths
1,26,38013,1
2,89,37842,2
3,380,37822,3
4,1502,37777,4
5,6152,37687,5
6,23417,37633,6
7,91232,37612,7
8,350945,37558,8
9,1829806,37512,9
10,7066116,37478,10
11,27873944,37395,11
