Number of constraints,Runtime [ms],Utility,Number of paths
1,24,39781,1
2,91,39720,2
3,372,39657,3
4,1482,39521,4
5,5782,39257,5
6,28291,39189,6
7,109808,39181,7
8,429268,39155,8
9,1624448,39149,9
10,6593583,39058,10
11,26960169,39021,11
