1,52,41517,1
5,271,41097,5
9,470,40906,9
14,726,40311,14
16,870,40232,16
20,1032,39975,20
21,1126,39795,21
24,1271,39486,24
35,1736,38568,35
37,1963,38355,37
39,2095,38302,39
43,2278,37958,43
46,2320,37640,46
8,402,40938,8
4,204,41203,4
12,625,40669,12
7,362,41007,7
17,908,40199,17
13,678,40483,13
25,1238,39446,25
38,1949,38327,38
41,2064,38060,41
10,515,40828,10
3,150,41311,3
29,1492,39132,29
22,1150,39599,22
11,568,40730,11
18,926,40151,18
27,1405,39210,27
6,302,41092,6
47,2360,37448,47
15,777,40244,15
32,1683,38811,32
19,943,39977,19
2,98,41455,2
26,1307,39276,26
36,1828,38429,36
28,1451,39200,28
42,2156,38013,42
50,2552,37296,50
33,1737,38713,33
31,1619,38824,31
34,1745,38591,34
23,1128,39506,23
30,1491,39000,30
40,1895,38216,40
48,2476,37314,48
44,2216,37950,44
45,2275,37786,45
49,2503,37308,49
