2,2042
3,3558
5,5175
6,6376
4,3622
7,7176
10,11519
8,8562
11,12824
12,13172
13,15103
9,9652
14,16911
15,19537
16,21489
17,22211
18,24368
19,26656
20,29275
21,30682
22,33256
23,36912
24,38559
25,42715
26,44587
27,47147
28,50128
29,51796
30,57167
31,60395
32,63892
33,66911
34,69997
35,73552
36,76968
37,80878
38,83669
39,89456
40,93392
41,96506
47,116879
48,120441
42,102252
43,106075
49,125995
44,110115
50,129866
45,116235
46,119751
2,1811
3,3071
4,3453
6,5512
5,4159
7,6818
9,9150
8,7511
10,11178
11,12427
12,13257
13,15186
14,17079
15,19048
16,20559
17,22009
19,26571
18,24506
20,28653
21,30447
22,33859
24,38873
23,36016
25,42865
26,44307
27,47542
28,49467
29,53253
30,57438
31,59831
32,63736
33,66115
34,68465
35,73403
36,76700
37,78393
38,85325
39,88031
40,91267
41,97277
42,100038
43,104269
44,109587
45,114009
46,117000
47,117267
48,123739
49,129540
50,132984
