5,0,2645,5
6,1,2645,6
7,1,2501,7
1,0,3352,1
2,1,3290,2
3,0,3206,3
4,0,3169,4
24,1,217,28
23,1,217,27
26,2,116,30
35,2,2,43
29,1,116,36
38,1,2,48
28,2,116,35
37,2,2,46
49,2,2,61
25,2,217,29
31,1,30,39
39,2,2,49
50,2,2,62
40,2,2,51
30,1,30,37
36,1,2,44
33,1,2,41
32,2,2,40
34,2,2,42
27,1,116,31
48,2,2,60
41,2,2,52
45,2,2,56
46,2,2,57
42,2,2,53
43,2,2,54
47,2,2,58
44,2,2,55
17,1,499,20
18,1,372,21
20,1,281,23
22,2,217,26
8,1,2083,8
15,1,530,18
21,1,281,25
19,1,372,22
12,1,1556,13
16,1,499,19
9,0,1974,10
13,1,530,15
14,0,530,17
11,1,1974,12
10,1,1974,11
