19,1,1343,26
49,3,147,59
18,1,1343,25
12,1,1870,15
7,0,2387,9
31,1,642,39
39,2,365,48
14,1,1556,19
6,0,2417,8
36,2,365,44
8,0,2387,10
16,2,1343,22
4,0,2787,6
22,1,1064,29
15,2,1556,21
10,1,2063,13
41,2,365,50
21,1,1129,28
50,2,69,60
9,1,2352,11
42,2,365,51
24,1,1064,31
1,1,3652,2
17,1,1343,23
25,1,1064,32
47,2,355,56
48,2,147,57
44,2,365,53
23,2,1064,30
2,1,3303,3
37,2,365,46
20,1,1343,27
3,0,2957,5
13,1,1656,17
11,1,1944,14
5,1,2787,7
43,2,365,52
45,2,355,54
46,1,355,55
40,2,365,49
26,1,1064,33
30,2,642,38
38,2,365,47
33,2,642,41
32,1,642,40
27,2,1064,34
28,1,1064,36
29,2,1064,37
34,2,642,42
35,2,642,43
