400,110,15191
600,173,25536
2700,853,114428
2800,917,112116
3300,1218,128755
3200,1216,136392
3500,1290,142482
3400,1282,140352
1100,313,46754
4200,1365,166573
3600,1382,149283
1800,542,68912
200,49,7225
3700,1320,152074
3900,1399,158591
4000,1361,159511
4100,1372,165407
3800,1379,156602
1400,394,53682
2300,683,91522
100,28,2814
1200,348,46976
1300,380,53807
500,150,18621
1700,533,66472
700,203,29398
2100,681,87176
2900,900,119856
2200,692,98768
2400,762,95856
3100,1029,129576
1500,416,61914
2500,735,98877
800,225,29592
1900,587,72987
2000,610,81196
300,75,13256
900,248,35301
1000,295,40122
3000,919,127086
1600,454,57795
2600,780,106779
4600,1753,189812
4900,1914,201804
5200,2046,213384
4800,1872,200250
4400,1757,179784
4300,1680,175404
4500,1766,182513
5000,1966,204418
5600,2231,235161
4700,1803,194295
5800,2339,226479
5300,2122,214527
5100,2017,205741
5500,2203,227283
6200,2521,252944
5400,2153,217377
6100,2479,252876
5700,2269,233039
6600,2730,269328
5900,2383,230894
6400,2606,240872
6700,2754,267167
6000,2442,243885
7400,3123,301186
6800,2835,285103
8300,3141,326983
6300,2545,253897
7700,3259,315863
8400,3152,332878
6500,2634,268112
8200,3058,326329
7000,2918,275823
7500,3170,309136
7600,3210,316050
7800,3339,320500
8000,3396,320476
7100,2988,290458
6900,2943,288068
7900,3325,324837
7200,3000,292281
8100,3441,336578
7300,3099,280947
9000,3900,364697
8900,3831,364372
8500,3647,344530
9200,4031,368416
8700,3672,327620
9800,4259,401959
8600,3698,345121
8800,3745,360804
9400,4113,390931
9100,4017,374060
9900,4382,399218
9300,4093,378062
9700,4293,394701
10000,4456,400360
9600,4279,383601
9500,4215,379013
