100,1259,3599
200,2701,6170
300,4896,12571
400,7201,13793
500,9915,20066
600,12438,23369
700,15627,26052
800,19712,31945
900,23354,37289
1000,29495,40387
1100,34939,43946
1200,39474,47712
1300,44511,55057
1400,51047,55363
1500,55837,57270
1600,62470,65809
1700,70275,76960
1800,79580,74620
1900,86994,79721
2000,96756,78164
2100,105956,89013
2200,111317,80298
2300,121607,86951
2400,131215,88136
2500,139223,97984
2600,153189,109521
2700,162947,107396
2800,177152,120754
3400,257601,143019
2900,188880,118341
3500,270317,146101
3000,202327,119531
3100,213070,124716
3200,220605,121955
3300,220307,128844
3600,291375,143202
3700,293544,159071
3800,319106,161997
3900,328006,162058
4000,338872,163079
4100,367897,160641
4200,374451,172383
4300,394299,170258
4400,412511,174093
4500,426359,181765
4600,445345,197996
4700,466177,202980
4800,479804,193941
4900,506800,198830
5000,530060,199078
5100,536676,204222
5200,558016,199756
5300,588467,206651
5400,607602,216999
5500,633768,222646
5600,668748,221121
5700,689525,227145
5800,718207,232897
5900,721367,232238
6000,747063,240889
6100,782836,256923
6200,789956,254581
6400,853032,267474
6500,863462,260785
6600,897615,272500
6700,911059,272737
6800,946339,288428
7200,1040573,287856
7300,1042204,291627
7400,1112482,291009
7500,1120172,305840
8100,1251934,327931
8000,1258294,327110
8200,1288008,334595
8800,1461056,353969
9200,1588633,374840
9300,1630807,371509
9600,1728697,388165
9800,1795679,398782
6300,752038,260136
6900,871055,278235
7000,916679,298652
7100,957125,293985
7600,1037839,304439
7700,1085089,317273
7800,1098768,318719
7900,1184856,323075
9000,1460963,365700
9100,1491105,361383
8300,1265246,332471
8400,1299799,339668
8500,1317979,344382
9400,1562559,382742
8600,1339148,352895
8700,1364643,350606
9500,1617112,378402
8900,1426526,357909
9700,1667489,400327
9900,1780924,404089
10000,1852136,410874
