7,1043,3048,9
3,527,3316,3
10,1848,2764,13
16,1922,2407,21
24,2465,1964,31
17,3953,2383,23
19,3813,2297,25
13,4261,2527,17
2,5663,3442,2
9,4581,2818,12
22,4606,1986,29
14,5937,2515,18
25,5307,1869,32
15,5871,2451,19
21,7260,2092,27
5,8099,3281,6
1,2958,3560,1
12,4959,2667,15
18,5718,2376,24
11,1309,2745,14
20,3283,2210,26
4,7127,3287,4
23,3084,1986,30
8,6962,3046,10
6,1633,3135,8
26,3457,1786,33
41,4189,1020,51
50,4277,609,61
42,4379,1005,52
46,4882,817,57
31,4482,1519,38
44,5996,998,55
32,7432,1461,39
48,6191,698,59
43,4829,1005,54
45,4822,904,56
36,4190,1198,44
33,4138,1461,40
49,6125,633,60
47,4828,771,58
40,7569,1094,49
30,6710,1637,37
27,2681,1786,34
34,6612,1297,42
35,4421,1210,43
37,3402,1198,45
39,4562,1108,48
38,3355,1120,47
29,2637,1637,36
28,2586,1700,35
