2,449,3694,4
1,341,4018,2
4,648,3248,7
5,1037,2996,8
10,1382,2706,13
16,2170,2512,19
6,2968,2965,9
11,2832,2704,14
14,3035,2599,17
23,3166,1762,28
31,3625,1411,36
30,3373,1504,35
27,3858,1615,32
35,3589,1297,41
42,4565,750,51
43,4349,748,52
49,4321,388,60
48,4431,423,59
46,4317,464,57
3,2566,3334,6
7,2875,2890,10
13,2880,2599,16
8,3158,2786,11
15,2692,2577,18
18,5291,2188,22
12,3102,2637,15
19,4343,2048,23
24,5613,1703,29
40,5818,768,49
34,6041,1360,40
36,4543,1281,43
47,6360,464,58
28,7325,1648,33
9,2119,2778,12
25,8652,1636,30
26,8419,1626,31
21,6793,1944,25
39,6247,1117,47
44,8472,748,54
29,9012,1590,34
41,7685,750,50
45,6466,748,55
38,5716,1205,46
37,5522,1221,45
17,6518,2188,21
22,6894,1850,26
20,6481,1955,24
32,7216,1411,37
33,5249,1410,38
50,7860,319,61
