8,38,3522,11
9,42,3504,12
23,110,2229,30
47,213,889,55
24,115,2204,31
11,55,3364,14
41,181,1248,48
14,69,3278,18
26,124,2116,33
17,79,2621,23
42,186,1169,49
18,89,2471,25
30,145,1756,37
43,201,1071,50
21,104,2385,28
20,99,2385,27
46,209,897,53
50,215,746,59
49,227,758,58
48,215,825,57
45,196,983,52
40,179,1292,47
44,189,1071,51
34,152,1530,41
16,83,2777,22
19,90,2404,26
22,105,2315,29
15,75,3002,19
10,52,3428,13
25,115,2204,32
12,63,3352,15
13,63,3302,17
31,145,1622,38
38,173,1368,45
27,129,2046,34
28,135,2018,35
29,138,1826,36
39,180,1300,46
37,164,1368,44
35,158,1434,42
36,161,1434,43
33,146,1530,40
32,151,1598,39
7,35,3578,10
4,21,3872,6
6,30,3746,8
1,5,4260,1
2,10,4092,4
3,15,3892,5
5,24,3806,7
