1,19209,41517,1
2,19931,41455,2
3,21632,41311,3
4,22447,41203,4
5,23593,41097,5
6,26068,41092,6
7,26676,41007,7
8,27372,40938,8
9,28454,40906,9
10,29600,40828,10
11,32007,40730,11
12,32710,40669,12
13,34251,40483,13
14,34454,40311,14
15,35414,40244,15
16,37290,40232,16
17,38053,40199,17
18,38713,40151,18
19,40566,39977,19
20,41955,39975,20
21,43217,39795,21
22,44489,39599,22
23,45232,39506,23
24,46896,39486,24
25,46876,39446,25
26,48968,39276,26
27,50772,39210,27
28,51901,39200,28
29,53313,39132,29
30,54487,39000,30
31,55008,38824,31
32,56627,38811,32
33,57769,38713,33
34,58802,38591,34
35,60873,38568,35
36,61771,38429,36
37,63281,38355,37
39,65877,38302,39
38,65990,38327,38
40,66272,38216,40
41,67838,38060,41
42,68647,38013,42
43,69577,37958,43
44,71521,37950,44
45,73216,37786,45
46,74364,37640,46
47,75780,37448,47
48,76424,37314,48
50,78120,37296,50
49,77471,37308,49
