1,19737,44465,1
2,20421,44464,2
3,21450,44463,3
4,23221,44403,4
5,24163,44362,5
6,25033,44216,6
7,26227,44120,7
8,28398,44099,8
9,28972,43999,9
10,30090,43534,10
11,30626,43507,11
12,31322,43418,12
13,32278,43294,13
14,36078,43092,15
15,36968,43022,16
16,39054,42942,17
17,39431,42906,18
19,41273,42830,20
18,40995,42868,19
20,41759,42784,21
21,43533,42658,22
22,45882,42466,23
23,46789,42071,24
24,47173,41980,25
25,48807,41785,26
26,49131,41781,27
27,49589,41755,28
28,51554,41745,29
29,52213,41454,30
30,52930,41454,31
31,55647,41364,32
32,55831,41218,33
33,56986,41192,34
34,59422,41095,35
35,60053,41046,36
37,62763,40938,38
36,62870,41010,37
38,63303,40797,39
39,66664,40617,40
40,67525,40461,41
41,67401,40164,42
42,68372,40110,43
43,68683,39800,44
46,70676,39499,47
44,71471,39705,45
45,71410,39557,46
49,73804,39377,50
48,73086,39377,49
50,73890,39223,51
47,73510,39413,48
