Graph size,Runtime [ms],Utility
100,3069755,3246
200,1256529,6921
300,1703169,11726
400,2326741,13276
500,2862154,19058
600,3324722,24159
700,15717962,29326
800,4348156,36209
900,5024684,38617
1000,5566706,40441
1100,6258222,45250
1200,6750583,48517
1300,7211998,54414
1400,7728396,58967
1500,8220420,63417
1600,8786942,63979
1700,9328107,66843
1800,9822057,69365
1900,10443070,75860
2000,11042440,77145
2100,11737181,87447
2200,48486045,87354
2300,51156122,93445
2400,13373847,96072
2500,13791426,100684
2600,14446139,102086
2700,14949827,108067
2800,62565991,113174
2900,16641779,110932
3000,17184883,114682
3100,17604823,132295
3200,18532581,132226
3300,18893677,130011
3400,19150539,137074
3500,19408055,134839
3600,20458464,144840
3700,21414711,145943
3800,21888187,153922
3900,21657401,152863
4000,89851063,160428
4100,23699307,166297
4200,23864081,168434
4300,24804574,177103
4400,25042277,179625
4500,25669938,179218
4600,26161986,179871
4700,26835771,188724
4800,27648130,190564
4900,28938015,202736
5000,29228347,208117
5100,30103077,201474
5200,30997520,211420
5300,31065553,217596
5400,32211823,210729
5500,32419432,214829
5600,34328868,228544
5700,35777074,233642
5800,35274831,226445
5900,37166459,236069
6000,36379252,241110
6100,37355219,246270
6200,38268453,250898
6300,39781405,261402
6400,39273962,257445
6500,40644712,265981
6600,41267115,262223
6700,42865554,269870
6800,42179413,273130
6900,43711260,268756
7000,45322522,292540
7100,44645466,280263
7200,46481239,291068
7300,47632187,300640
7400,187311209,294057
7500,48664384,313577
7600,200019864,313741
7700,198887683,303578
7800,52124009,319252
7900,53129054,326674
8000,54211600,329398
8100,54321298,325397
8200,55292702,332714
8300,57595163,338785
8400,56385031,332820
8500,57675557,343377
8600,58313637,351146
8700,59275889,354376
8800,61168476,355283
8900,62322141,362358
9000,62602550,356637
9100,62798551,372496
9200,63379370,360538
9300,63547905,375484
9400,64530413,375513
9500,65417279,380204
9600,66514461,383702
9700,68976917,387567
9800,70739996,398233
9900,69856329,401969
10000,70274190,407046
