Graph size,Runtime [ms],Utility
100,11531352,2570
200,1280637,6893
300,1747170,11264
400,9346433,15277
500,2731450,20739
600,3322828,24179
700,3944605,26974
800,17734066,34669
900,5068253,35715
1000,5541250,35042
1100,6042921,42414
1200,6631575,47063
1300,7065937,49724
1400,7714601,53856
1500,8197677,65147
1600,9386071,61911
1700,9322459,65636
1800,9970767,70307
1900,10484145,76983
2000,11317253,78545
2100,11524464,83461
2200,12160731,83179
2300,12791017,88609
2400,13124491,93761
2500,14046873,93595
2600,14483149,111818
2700,14837497,114629
2800,15682286,115555
2900,16049046,110960
3000,16889125,125817
3100,17455821,120343
3200,17852766,132872
3300,18820339,136853
3400,19039245,136616
3500,79445546,144437
3600,19986103,148016
3700,21440656,147516
3800,21733308,157496
3900,22697857,161388
4000,22784669,157603
4100,23619571,161495
4200,23774500,170849
4300,24431016,161820
4400,26052368,172861
4500,26393372,188561
4600,26877575,184694
4700,27523188,189308
4800,27506021,188851
4900,29002232,196337
5000,28628287,201326
5100,30339337,212762
5200,30162689,227015
5300,31644470,216124
5400,33142523,210642
5500,32962739,224360
5600,33730187,242206
5700,34697582,238841
5800,35729119,241722
5900,37573202,239978
6000,36214428,238734
6100,37826343,246209
6200,37701916,250979
6300,39253398,261450
6400,40675779,268173
6500,40572187,269127
6600,40972152,266561
6700,41627402,271409
6800,43302686,273371
6900,44010540,277682
7000,44449223,286404
7100,45664506,290991
7200,46176066,292618
7300,48520565,294824
7400,48566224,288742
7500,49234924,318594
7600,50385056,315028
7700,51521397,332178
7800,52120593,314986
7900,52568904,327198
8000,53450717,318276
8100,53751825,335789
8200,54980613,323622
8300,59212475,335999
8400,57397142,334066
8500,57903218,346539
8600,58060604,341261
8700,61313322,354045
8800,60009363,357931
8900,63946782,352861
9000,61483420,365742
9100,64192439,371726
9200,64626052,385954
9300,66254488,370820
9400,65881772,378217
9500,66854058,383274
9600,68204655,381521
9700,67670024,394428
9800,70370926,392014
9900,69660840,406804
10000,70925124,402804
