Graph size,Runtime [ms],Utility
100,687848,2898
200,1248221,7413
300,1755356,12214
400,2237274,15422
500,2711267,18675
600,3280048,24248
700,3855023,25646
800,4444075,28758
900,4926494,34900
1000,5416699,39538
1100,5852860,40254
1200,6364295,49002
1300,6933854,51750
1400,7573209,55954
1500,8221452,59560
1600,8746492,66670
1700,36951636,65847
1800,9604573,72436
1900,10284624,76211
2000,11315781,78289
2100,11397441,85641
2200,11960134,91413
2300,12685776,94647
2400,13027370,98636
2500,13485640,99812
2600,14051085,102161
2700,14790715,102597
2800,15301996,116527
2900,15789638,115466
3000,16648243,119879
3100,17192766,124466
3200,17529588,129129
3300,18510469,132967
3400,19564245,134818
3500,19219060,144417
3600,20213218,149528
3700,21000364,145429
3800,21216665,168811
3900,21710570,163976
4000,22174053,164729
4100,22896649,167074
4200,23791331,173334
4300,24214567,170294
4400,24450466,178711
4500,25369481,180040
4600,25880751,190949
4700,26878250,188504
4800,27560886,195943
4900,28159150,189852
5000,28714567,194970
5100,30123007,202481
5200,29852607,209627
5300,30554934,214351
5400,31599675,218510
5500,32236882,227737
5600,33833812,233233
5700,33942171,228515
5800,35105905,227697
5900,36108680,233553
6000,35909328,252149
6100,37113652,246788
6200,38259812,247109
6300,39129726,256094
6400,39255228,258449
6500,41556887,266444
6600,42058168,272985
6700,41514472,277300
6800,42144617,269050
6900,42933922,280937
7000,45652779,283552
7100,45521280,302361
7200,45958376,293688
7300,46818161,306699
7400,47813888,296933
7500,48377252,301257
7600,49315446,304257
7700,52050379,313761
7800,52000489,314870
7900,53349382,323944
8000,54376371,321748
8100,53297494,327156
8200,55327786,320860
8300,57761479,329702
8400,55774660,334452
8500,59055760,348512
8600,58180930,348173
8700,58564681,351398
8800,60044432,358965
8900,60200261,354376
9000,61285882,359026
9100,61811675,364589
9200,65011467,373400
9300,63910517,379464
9400,66452500,385280
9500,66478381,361647
9600,65799638,395648
9700,67407729,385236
9800,68174332,404130
9900,69409939,398960
10000,70518946,406838
