Graph size,Runtime [ms],Utility
100,2716377,2489
200,1214558,7818
300,1727835,9686
400,2315247,14135
500,2838246,19827
600,3297107,22551
700,3928887,28512
800,4353516,30946
900,4940593,35305
1000,5411166,39334
1100,6192737,47431
1200,6554335,51152
1300,7234573,51521
1400,7634910,55690
1500,8348843,59007
1600,36376008,66098
1700,9374134,66762
1800,10054307,74784
1900,10449922,75016
2000,10868719,78883
2100,11581605,84364
2200,11951836,85708
2300,50544120,100806
2400,13209524,98094
2500,13895945,105274
2600,14315873,100542
2700,14883379,111753
2800,15810945,113147
2900,64388814,117706
3000,16669595,117394
3100,17297282,124436
3200,18414857,125271
3300,18428027,134546
3400,19091429,135772
3500,19802799,143449
3600,20272050,142108
3700,20727092,148395
3800,21997996,154353
3900,22235039,163878
4000,22873257,161353
4100,23702593,163743
4200,95954221,170911
4300,24501035,176811
4400,26004443,174495
4500,25874834,178655
4600,26395470,192547
4700,26935743,193760
4800,28130218,187229
4900,28983672,191059
5000,30036600,202392
5100,29636381,195201
5200,29999883,204509
5300,30778310,217848
5400,31753028,213544
5500,32699131,221020
5600,33649808,225852
5700,35397901,230821
5800,34593791,228275
5900,35499461,233030
6000,36988473,253167
6100,38642416,254688
6200,39576159,256190
6300,39917981,254345
6400,39542607,262498
6500,41751011,254297
6600,41574235,270378
6700,41509209,275286
6800,43511427,274209
6900,43709759,288296
7000,45385466,282816
7100,45588630,283455
7200,45741701,279098
7300,47959849,292887
7400,49600900,292642
7500,48712272,298094
7600,51291195,297365
7700,52121665,312626
7800,51215718,315460
7900,52075522,324550
8000,53312687,325843
8100,54063144,333685
8200,54542919,334343
8300,56872307,342918
8400,57672113,330925
8500,57297649,341676
8600,57732651,346055
8700,59901191,333881
8800,60741370,362397
8900,61751980,352490
9000,64770534,356528
9100,63078508,357393
9200,63857492,379260
9300,65266258,386644
9400,65660493,378803
9500,67263307,393349
9600,67564121,387813
9700,67600661,398283
9800,69038752,399049
9900,69504438,397482
10000,70926543,401666
