Graph size,Runtime [ms],Utility
100,3063345,3755
200,5073666,6925
300,1690421,9710
400,2244761,16193
500,2689993,21566
600,3271555,22422
700,3876583,27019
800,4374631,30801
900,4948607,36844
1000,5457693,38031
1100,5913715,43210
1200,6455088,47130
1300,7041328,52354
1400,7613213,51490
1500,8187938,62788
1600,8774326,62606
1700,9222896,71865
1800,9821105,70280
1900,10337151,79253
2000,10708618,78522
2100,11530368,84256
2200,12072201,92334
2300,12669603,90344
2400,13061547,103996
2500,13595298,102042
2600,14459010,101056
2700,14405486,108754
2800,15565637,111152
2900,16142521,109501
3000,16991535,126972
3100,17504625,128037
3200,71611685,128094
3300,18200183,130749
3400,19238103,135883
3500,19552110,142926
3600,20150642,144371
3700,20744506,147191
3800,21659723,153637
3900,21821153,158051
4000,22712744,162185
4100,23054620,157301
4200,24011173,159158
4300,24476328,168348
4400,25204093,175988
4500,25279600,188132
4600,26153303,190917
4700,27335950,190314
4800,28408981,193122
4900,28449733,200633
5000,28567181,197898
5100,30092142,205395
5200,30967976,213985
5300,31112365,209411
5400,31426613,208951
5500,33523998,224969
5600,33745427,227096
5700,34513448,221952
5800,35634461,236691
5900,37000846,239918
6000,36682497,244408
6100,37972475,240607
6200,37748042,251732
6300,38079669,246805
6400,39276332,272035
6500,41707176,260603
6600,40978201,270859
6700,41690187,266108
6800,43655702,276295
6900,44042976,279705
7000,45912816,283730
7100,46415561,283801
7200,48027655,284048
7300,47822539,291231
7400,49320401,306232
7500,48680754,307928
7600,49156135,305619
7700,50045562,301709
7800,52164192,319893
7900,52492483,319401
8000,54562923,324941
8100,53764691,326301
8200,55762487,338499
8300,56356375,333421
8400,56081922,341531
8500,57239385,348835
8600,57437691,344238
8700,58462256,347124
8800,59013519,356492
8900,61051480,361781
9000,61745754,371503
9100,61814243,379271
9200,62401547,364493
9300,63912627,368157
9400,67451172,368190
9500,65114198,377245
9600,66672944,384408
9700,68280298,386323
9800,71624205,383353
9900,72010917,407021
10000,69398025,406960
