Graph size,Runtime [ms],Utility
100,12244501,3453
200,1218426,6336
300,1668059,11389
400,2249555,15472
500,11498433,24152
600,3311582,25256
700,3968975,24500
800,4540514,29770
900,5119424,37396
1000,5515431,41644
1100,6025504,45452
1200,6524409,49483
1300,28650243,52970
1400,7753360,55822
1500,33053738,59845
1600,8666903,60329
1700,9277350,64746
1800,9928928,72337
1900,10526698,79300
2000,11177026,79877
2100,11620598,83552
2200,12116707,94942
2300,12651274,91199
2400,13043341,95334
2500,14117759,102767
2600,14703727,104398
2700,15430060,114096
2800,15912568,111210
2900,16272993,120421
3000,16926209,124334
3100,17407116,119317
3200,17974907,130698
3300,18465454,132888
3400,19011951,139173
3500,19891593,137526
3600,20097045,138607
3700,20854594,148938
3800,21647183,156007
3900,22484886,164315
4000,22966854,161597
4100,23954854,161353
4200,96179903,174722
4300,99404815,173093
4400,25104884,175265
4500,26144715,177599
4600,26814926,186679
4700,27190866,185348
4800,27930593,194817
4900,28556906,196302
5000,29336636,202873
5100,30089649,204557
5200,31433505,210711
5300,31338913,223526
5400,32054395,224233
5500,32646536,231571
5600,33846483,224525
5700,135927961,226917
5800,35089352,232377
5900,36206943,236584
6000,37550636,233499
6100,37093720,245029
6200,37916536,254705
6300,38881287,267580
6400,39406783,258248
6500,40669254,266100
6600,41086350,269219
6700,41782003,268335
6800,44173499,284673
6900,43818047,276181
7000,45766994,282783
7100,44987671,289004
7200,48022698,298007
7300,46664647,297568
7400,49505281,307469
7500,48434321,300614
7600,50276500,306369
7700,50408019,308634
7800,52233375,326071
7900,53180113,318657
8000,53501501,320878
8100,54571241,330593
8200,54888399,335573
8300,55870958,327389
8400,58398129,339039
8500,57355571,350112
8600,58521623,344150
8700,58544563,352127
8800,59592382,353266
8900,62051091,359203
9000,61448800,364294
9100,65226258,383592
9200,63354615,381904
9300,65287712,367992
9400,66331207,393310
9500,66559414,390304
9600,68066666,396856
9700,69307910,394637
9800,69051427,391472
9900,69632857,402025
10000,70856896,403846
