Graph size,Runtime [ms],Utility
100,2822569,2625
200,5190321,7033
300,1707293,10266
400,2260206,14250
500,2734761,22783
600,3289640,21469
700,3948046,27988
800,4341960,29925
900,4881831,32677
1000,5379230,35678
1100,5920571,42678
1200,6445957,46108
1300,6942908,50334
1400,7614339,60526
1500,8239632,63708
1600,8562321,61246
1700,9258812,62587
1800,9721472,66490
1900,10438246,77790
2000,10808757,78353
2100,11522235,84842
2200,11907579,83453
2300,12683699,88589
2400,13084687,104495
2500,13719466,107277
2600,14066409,103751
2700,14765527,110297
2800,15610804,115254
2900,15958390,119929
3000,16985721,123843
3100,16844124,121293
3200,18218419,127452
3300,18323506,128205
3400,18964107,137513
3500,19666312,127996
3600,19965585,151403
3700,20830641,145874
3800,21427605,149045
3900,22076778,158370
4000,22681144,168869
4100,22866470,162193
4200,23642194,168945
4300,24534187,164172
4400,24857309,179809
4500,25727659,187100
4600,26115491,193453
4700,26835753,192308
4800,27368764,191527
4900,28276293,201436
5000,28982408,194443
5100,29382599,199397
5200,30224561,213180
5300,30291005,215452
5400,31751221,210820
5500,33490745,229155
5600,33192609,229499
5700,33755985,226504
5800,34937071,236333
5900,35808489,236325
6000,35979623,242957
6100,36354245,246025
6200,38397098,249109
6300,38598014,250844
6400,40121318,262063
6500,40665926,265733
6600,41754192,263145
6700,41179439,275290
6800,42876699,280550
6900,43156026,282356
7000,44224652,286378
7100,46450437,291682
7200,46327973,294382
7300,47522113,292459
7400,48322105,298462
7500,50460562,303133
7600,50739093,309055
7700,50373533,317566
7800,50534991,306813
7900,51665908,316115
8000,52763808,329373
8100,53337250,321885
8200,53755867,339234
8300,57619711,339050
8400,57191937,347773
8500,58427479,349588
8600,57939793,346827
8700,58774929,351775
8800,59578145,347596
8900,61310430,352284
9000,61495130,359594
9100,62349716,368520
9200,62499553,371869
9300,63898221,362095
9400,66517661,377580
9500,65769729,375591
9600,67599060,387017
9700,70245940,384795
9800,68647779,395850
9900,70504158,402590
10000,71850105,399023
