Graph size,Runtime [ms],Utility
100,740747,4071
200,5061736,6568
300,6965208,10959
400,2289031,15268
500,2768056,17599
600,3317003,25553
700,3954992,28051
800,4511006,31334
900,5013506,36182
1000,5594334,34124
1100,6192470,44912
1200,6638457,47847
1300,7114686,50304
1400,7803791,53735
1500,33094763,59903
1600,9017293,65477
1700,9225700,67576
1800,10108635,70800
1900,10536568,74923
2000,10921287,81846
2100,11648822,83630
2200,12283000,89896
2300,12695365,88962
2400,13147997,102413
2500,13644956,100316
2600,14505232,100429
2700,14982894,108011
2800,15413175,105490
2900,16258101,114414
3000,16923883,124555
3100,17677939,118824
3200,17756616,130780
3300,18690111,137567
3400,19161186,135264
3500,20244112,143765
3600,20236216,152467
3700,20764682,147318
3800,21414067,149888
3900,21793787,155188
4000,22706302,161448
4100,23974334,172711
4200,23982006,164061
4300,24855662,169363
4400,24992703,176514
4500,25425770,171763
4600,26734889,188205
4700,27480793,188853
4800,28012846,191482
4900,111894868,199038
5000,28752702,198778
5100,29700930,216336
5200,31172991,205949
5300,31448817,208645
5400,32039372,215348
5500,32489374,227127
5600,33953214,229132
5700,33926595,225959
5800,35460771,231635
5900,36684160,237168
6000,36607970,248920
6100,37839728,249484
6200,37506064,252974
6300,38927675,248736
6400,39047077,256232
6500,41445327,270561
6600,41215001,271906
6700,42114834,271068
6800,43466815,268662
6900,44957262,274440
7000,44665124,286933
7100,45465918,287723
7200,47055753,288087
7300,46445143,287347
7400,48242753,288183
7500,50543382,304390
7600,52334565,309792
7700,51847566,308733
7800,53879859,311322
7900,52766977,312163
8000,53518432,331921
8100,54338268,335247
8200,55817538,331478
8300,55656768,337279
8400,56113956,337208
8500,58187247,350349
8600,58892801,348892
8700,59455265,342223
8800,60325303,349259
8900,60465861,368198
9000,61633187,370801
9100,62422088,369016
9200,65697534,374062
9300,65555273,389440
9400,67822194,387030
9500,66361103,386406
9600,67699196,386070
9700,69435943,402717
9800,68925487,406382
9900,70562347,391328
10000,71826302,401480
