Graph size,Runtime [ms],Utility
100,12672230,3599
200,1217694,6170
300,1797045,12571
400,2308094,13793
500,2786184,20066
600,13515927,23369
700,3920061,26052
800,4396836,31945
900,4961673,37289
1000,5487627,40387
1100,6067543,43946
1200,6627250,47712
1300,7245827,55057
1400,31738339,55363
1500,8250655,57270
1600,8937788,65809
1700,9425817,76960
1800,10037857,74620
1900,10429594,79721
2000,10999717,78164
2100,11759694,89013
2200,12179900,80298
2300,50453358,86951
2400,13066208,88136
2500,13877202,97984
2600,14416052,109521
2700,15097117,107396
2800,15730930,120754
2900,16516120,118341
3000,16736112,119531
3100,17281656,124716
3200,17619600,121955
3300,18200319,128844
3400,19163877,143019
3500,79033691,146101
3600,20288836,143202
3700,20846800,159071
3800,21371480,161997
3900,22068967,162058
4000,22922081,163079
4100,23427597,160641
4200,97289066,172383
4300,24612256,170258
4400,25422772,174093
4500,25830021,181765
4600,26511250,197996
4700,111285744,202980
4800,27578622,193941
4900,29124990,198830
5000,28564063,199078
5100,30204422,204222
5200,30318727,199756
5300,30967180,206651
5400,128751710,216999
5500,32575088,222646
5600,33356489,221121
5700,136643178,227145
5800,35694489,232897
5900,36730186,232238
6000,36167424,240889
6100,37566377,256923
6200,38929937,254581
6300,38269050,260136
6400,40856778,267474
6500,40593128,260785
6600,41731910,272500
6700,43508932,272737
6800,43258058,288428
6900,43889691,278235
7000,44949101,298652
7100,45701464,293985
7200,47144067,287856
7300,47755255,291627
7400,48174738,291009
7500,48730526,305840
7600,50019064,304439
7700,51305731,317273
7800,53487557,318719
7900,52444624,323075
8000,53660907,327110
8100,53888027,327931
8200,55565178,334595
8300,54997842,332471
8400,57784813,339668
8500,57659122,344382
8600,58460696,352895
8700,59328286,350606
8800,59661449,353969
8900,61971711,357909
9000,61304043,365700
9100,64871067,361383
9200,64555671,374840
9300,64164930,371509
9400,65175543,382742
9500,65766239,378402
9600,67888097,388165
9700,68475019,400327
9800,68922747,398782
9900,70010120,404089
10000,72292003,410874
