Graph size,Runtime [ms],Utility
100,2931706,3646
200,1269954,8643
300,1748320,12718
400,2282778,14152
500,2769544,17768
600,3323952,22404
700,3955327,28221
800,4399371,33360
900,5098630,38965
1000,5401552,42283
1100,6059976,43364
1200,6487290,49179
1300,7020177,52885
1400,7659681,52017
1500,8484743,62869
1600,8813936,64743
1700,9224750,69018
1800,10165807,67276
1900,10619334,69085
2000,11103240,81380
2100,11452490,77707
2200,12082720,85682
2300,12762722,83944
2400,12969560,95455
2500,14039609,101406
2600,14318433,106190
2700,15021866,112938
2800,15600402,116936
2900,15957294,112141
3000,16759956,117656
3100,17602298,129644
3200,18183577,120798
3300,19487816,132054
3400,18980913,143228
3500,19664848,138782
3600,20533453,148523
3700,20892767,153355
3800,21625412,148849
3900,21954372,163673
4000,22967471,155885
4100,23796361,166581
4200,24397126,164543
4300,24475796,178255
4400,25958043,172665
4500,25973607,191021
4600,26774424,186408
4700,28065172,187619
4800,28046536,192473
4900,28675788,196647
5000,29337469,209337
5100,29728249,204864
5200,30635928,212197
5300,30990310,218293
5400,31806376,220825
5500,33319764,233041
5600,33738405,227124
5700,34266577,221153
5800,35410284,233303
5900,36621252,241181
6000,36302198,245682
6100,38018817,244989
6200,38223915,248082
6300,39219136,263781
6400,39810414,253168
6500,40855986,266685
6600,41082837,268244
6700,41728956,272450
6800,42303571,273737
6900,45236177,278557
7000,44605268,285313
7100,45137016,295541
7200,46016188,291854
7300,47049709,296202
7400,48296451,293119
7500,49076010,307245
7600,49565309,325449
7700,50515180,323102
7800,52670325,303417
7900,52399060,316245
8000,55103743,329259
8100,54838897,320418
8200,54669065,339249
8300,55852355,334778
8400,58710467,339488
8500,58925879,341386
8600,58542357,349072
8700,61080255,331437
8800,59739523,354560
8900,61625832,366345
9000,61495465,371245
9100,62853753,370042
9200,66826342,366749
9300,64431455,377752
9400,68277639,380072
9500,66201929,385268
9600,69470522,396896
9700,71400451,402846
9800,69631140,388120
9900,70530067,404667
10000,72083790,407390
