Graph size,Runtime [ms],Utility
100,669540,3166
200,20683236,6561
300,1752253,11238
400,2279787,13818
500,11258193,21823
600,13086726,28263
700,3940685,24753
800,4333881,30363
900,4970545,35491
1000,5547570,42463
1100,6162164,42682
1200,26373959,47955
1300,7093283,52926
1400,7788629,59922
1500,8143287,58406
1600,8962430,64594
1700,9335820,66103
1800,10077065,70443
1900,10640133,80638
2000,10886646,81018
2100,11889493,87143
2200,48926570,87874
2300,12530927,85693
2400,13177656,95798
2500,13782532,103382
2600,14466478,106208
2700,14719039,105216
2800,15573260,110153
2900,16217303,115596
3000,16888337,120671
3100,69065703,122793
3200,17816868,127790
3300,18819016,134800
3400,19214309,135428
3500,20085697,139742
3600,20401041,147062
3700,21055760,151553
3800,22104525,162147
3900,22148932,154057
4000,22857038,165128
4100,23568332,167506
4200,24278436,176218
4300,24531517,173043
4400,25401316,185449
4500,25916762,180628
4600,26347755,189011
4700,27416071,185889
4800,28126976,187737
4900,29087597,207269
5000,28914210,196634
5100,29964447,210249
5200,30908806,205491
5300,30955246,214946
5400,33034207,226120
5500,32789445,219976
5600,33766751,224359
5700,33699918,231879
5800,34559604,235789
5900,35478624,238920
6000,36192067,226728
6100,37332281,236893
6200,38652690,254424
6300,39308271,261136
6400,39601895,257974
6500,41146330,268816
6600,41758969,263242
6700,43912768,263719
6800,42867071,272777
6900,44735064,280688
7000,44393496,280079
7100,44468490,289470
7200,47291289,290097
7300,48237480,300539
7400,48063976,300302
7500,50062770,311851
7600,51860298,303120
7700,51017357,315333
7800,51056031,321021
7900,54558441,316356
8000,55706136,324648
8100,55462447,329714
8200,54643006,328664
8300,55970815,333958
8400,56662935,340182
8500,58916514,343098
8600,59764103,352050
8700,60030742,355441
8800,62315873,358348
8900,62265498,365103
9000,62225286,360400
9100,64385443,355031
9200,63359588,372006
9300,64083652,383079
9400,66811748,387426
9500,68477152,390889
9600,68024715,396361
9700,68733588,393559
9800,68688175,396287
9900,71089701,405315
10000,70617390,410598
