Graph size,Runtime [ms],Utility
100,3034164,2609
200,21779436,7119
300,6973863,10091
400,2315755,14209
500,2764145,18937
600,3361386,22707
700,3934796,27938
800,70697142,28588
900,4996418,36226
1000,5537411,42408
1100,6094129,42594
1200,6539642,46442
1300,27773949,49147
1400,7721019,55960
1500,8232308,57693
1600,9021716,65640
1700,9451051,69068
1800,9880394,71353
1900,10393613,74711
2000,11231240,81225
2100,11538945,88387
2200,12315122,91092
2300,12947519,89353
2400,13510124,96307
2500,13577169,104754
2600,14453190,106989
2700,15165838,107142
2800,15624149,110881
2900,16109361,120962
3000,17244825,127618
3100,17569845,123489
3200,18048197,133988
3300,18595883,132334
3400,19033586,128567
3500,19547446,134444
3600,20504453,146295
3700,21176146,156155
3800,21562817,158905
3900,22274177,162089
4000,22693529,164170
4100,23235480,173022
4200,24407449,167021
4300,24803532,176727
4400,25659441,172275
4500,26440143,182274
4600,26884187,184753
4700,27045404,193551
4800,27882689,192479
4900,28396973,199486
5000,29369646,205118
5100,29876934,199394
5200,31297339,205771
5300,32014220,217710
5400,125000677,220019
5500,32346577,225933
5600,132230446,225633
5700,34422633,235485
5800,35880161,249681
5900,35639908,242882
6000,37534698,244447
6100,37209428,243566
6200,39078731,240912
6300,38815743,263445
6400,39525569,250038
6500,41668690,264802
6600,41251231,264164
6700,41917884,275906
6800,44295912,281053
6900,45288528,281733
7000,46810245,280461
7100,46696627,292944
7200,45864963,296607
7300,48353582,288950
7400,48815127,294697
7500,49752485,303569
7600,50233637,304395
7700,51282507,318080
7800,50581169,322115
7900,53068824,318122
8000,53124533,315756
8100,54738444,327037
8200,54861119,329712
8300,55328738,339846
8400,58464666,334422
8500,57287791,362676
8600,59067609,340845
8700,58854268,344069
8800,59252815,365233
8900,62393117,351026
9000,61948718,365514
9100,63188967,363496
9200,65101611,367474
9300,65195700,372676
9400,64661363,385412
9500,64719429,397636
9600,66419044,380309
9700,68962227,398735
9800,69939711,393158
9900,70229382,379778
10000,69900572,394796
