Graph size,Runtime [ms],Utility
100,682482,3232
200,1254256,7002
300,7155898,9727
400,2264743,14197
500,2742939,21106
600,3285521,23396
700,3980530,26179
800,4463293,30844
900,5039353,34016
1000,5575501,40790
1100,6056049,44018
1200,25885156,48857
1300,7031336,50138
1400,7834066,58831
1500,8409821,62914
1600,8815838,59406
1700,9239557,69571
1800,10150628,73896
1900,10600613,78221
2000,11051537,77399
2100,11703574,87435
2200,12075663,85474
2300,12650760,93346
2400,13110201,92721
2500,13721665,94863
2600,14298679,96009
2700,15118745,114220
2800,15591790,109274
2900,16110947,114160
3000,16625370,124849
3100,17694075,128134
3200,17665122,126665
3300,18460844,128410
3400,19314447,130061
3500,19629081,145784
3600,20458688,143208
3700,21102763,151872
3800,21477305,152259
3900,22717601,157973
4000,22713741,161158
4100,23396408,165287
4200,23938540,170569
4300,24932825,177521
4400,25764880,179945
4500,25824450,189559
4600,26736925,194985
4700,108319394,194672
4800,28072112,193495
4900,28541834,196336
5000,29623302,209745
5100,116938917,202625
5200,30443009,220581
5300,30952417,218913
5400,33172606,228879
5500,32797408,224899
5600,34587217,230262
5700,34899899,228785
5800,35405390,236983
5900,37277002,228243
6000,36390426,239049
6100,38298363,250301
6200,38132095,255578
6300,39402306,255584
6400,39848412,251390
6500,41486412,261215
6600,41431264,265805
6700,41546447,271983
6800,42713072,279018
6900,43315896,272277
7000,46289185,295593
7100,45632578,282928
7200,47776727,281781
7300,47230197,295371
7400,49225845,297638
7500,48832728,293611
7600,50925345,312411
7700,50583416,302121
7800,51827014,310390
7900,52795171,326511
8000,53530221,327103
8100,54776196,329757
8200,55450643,341994
8300,55728833,336335
8400,57036527,343577
8500,59450503,342476
8600,60328222,346367
8700,59532526,339319
8800,60704938,352824
8900,60513247,358413
9000,62099316,363751
9100,62883680,375511
9200,65002529,372533
9300,66455804,389789
9400,65340024,385743
9500,66941939,390543
9600,67635253,391318
9700,69440301,394755
9800,70039610,405818
9900,72865403,403444
10000,71122691,407619
