Graph size,Runtime [ms],Utility
100,12452152,4152
200,20443722,6870
300,7368202,11446
400,2279653,15025
500,2759917,17561
600,3343966,24101
700,4090318,30586
800,4438816,30956
900,4999032,35978
1000,5572490,41648
1100,5996929,43145
1200,6621366,48232
1300,7048146,52176
1400,7733119,54239
1500,8231440,54406
1600,8798150,63166
1700,9313420,67790
1800,9801584,70564
1900,10370399,76632
2000,11067359,76451
2100,11588945,82905
2200,12396952,91173
2300,12946094,95617
2400,13574897,101144
2500,14148816,103488
2600,14290049,112182
2700,15210157,108986
2800,15569040,108331
2900,16381615,116581
3000,68045597,125992
3100,17384060,130916
3200,17830983,130524
3300,18532901,137339
3400,19240176,141273
3500,20231192,143361
3600,20320905,152278
3700,20897187,149047
3800,21597445,159731
3900,22152031,151195
4000,23092202,170361
4100,23686328,173250
4200,24014867,167788
4300,24343953,178451
4400,25671642,180104
4500,25760450,176964
4600,26292903,184601
4700,27589609,194252
4800,28126424,187771
4900,28810052,197041
5000,28787878,190233
5100,29641952,202630
5200,30496974,216384
5300,31389436,215217
5400,31607365,225152
5500,33171684,221096
5600,33785320,236532
5700,34064017,228085
5800,34639298,231222
5900,36220147,228940
6000,37717457,238889
6100,37495716,245813
6200,39340024,252568
6300,40920968,257201
6400,39322883,259321
6500,39776842,271067
6600,164593903,276695
6700,43575558,274991
6800,43839758,282560
6900,43206755,279853
7000,45860654,284245
7100,45059269,286519
7200,47107954,281047
7300,46614795,294256
7400,47706737,292542
7500,48188430,304154
7600,49543685,300641
7700,50617656,311613
7800,51543677,321941
7900,53550682,328339
8000,52823419,314785
8100,53837099,329506
8200,54441519,340512
8300,56302330,355662
8400,56382557,341954
8500,58303098,348027
8600,59652706,345642
8700,58907346,361563
8800,60726617,362603
8900,61516460,360445
9000,64120293,369422
9100,64157471,350438
9200,66373855,363157
9300,64411956,376161
9400,66521233,376255
9500,65342369,386150
9600,66481960,390484
9700,68320960,394851
9800,69397849,408319
9900,71607120,408215
10000,70266054,401693
