Graph size,Runtime [ms],Utility
100,753968,3610
200,1286454,9118
300,1761641,11913
400,2365446,15568
500,2726291,19532
600,3338805,20941
700,4027258,26704
800,4277952,30381
900,4956513,37749
1000,5588073,42173
1100,5968876,43474
1200,6553463,46925
1300,28523024,49058
1400,7923205,53364
1500,8264927,64161
1600,8921090,61607
1700,9164092,71101
1800,9897907,74280
1900,10305170,76980
2000,11120664,78039
2100,11579884,88935
2200,12053927,96537
2300,12635069,92758
2400,13430427,99821
2500,13755108,99566
2600,14473023,107091
2700,15036636,101222
2800,15544857,114595
2900,16078791,109358
3000,16741386,120018
3100,17293790,132594
3200,17872081,128565
3300,18601869,131495
3400,19205690,135664
3500,20057991,140646
3600,20136686,147039
3700,20895384,149237
3800,21567340,154402
3900,22266402,154842
4000,23344158,160160
4100,22901360,168166
4200,24065241,169854
4300,24578745,171954
4400,25296251,166746
4500,25871717,182368
4600,26296466,184341
4700,27191170,195271
4800,110963096,196686
4900,28864659,210527
5000,29274667,197640
5100,29646806,207993
5200,30556440,217963
5300,31557370,216627
5400,32736985,212479
5500,32500936,220106
5600,33776438,223946
5700,35343326,234512
5800,35370416,242780
5900,35395419,240310
6000,37732162,228093
6100,37443058,249765
6200,39293856,256765
6300,39100592,264265
6400,41059210,257018
6500,40505847,264859
6600,40893300,261212
6700,44042225,263169
6800,43013364,278628
6900,44067957,278830
7000,45101924,287499
7100,46139031,282695
7200,46772346,286431
7300,46649134,304187
7400,48726373,299932
7500,49825697,316096
7600,49933528,316853
7700,53040766,314738
7800,52354668,324039
7900,51844331,313863
8000,54174762,314516
8100,55132847,326283
8200,55410626,329397
8300,55671238,343469
8400,58405034,345733
8500,57271142,347847
8600,60188980,349052
8700,59493730,344871
8800,61482240,362013
8900,63596397,356264
9000,63619657,368759
9100,65218135,370546
9200,65088526,369063
9300,65965556,378501
9400,64820946,381897
9500,65440772,379528
9600,67220059,388811
9700,67632444,395196
9800,68305164,390081
9900,71678505,396215
10000,71860129,411794
