Graph size,Runtime [ms],Utility
100,11339394,2780
200,1274574,6414
300,1675490,10030
400,2300865,14175
500,2739566,18635
600,3310256,22678
700,3894782,24956
800,4409646,33834
900,4972472,34457
1000,22239958,40194
1100,6021782,41158
1200,6482826,43400
1300,7258140,57349
1400,7668133,52527
1500,8091852,58911
1600,8900999,66854
1700,9592781,69104
1800,9885564,71498
1900,10458104,79966
2000,10850137,81930
2100,11521883,86975
2200,12029908,88768
2300,50997972,94413
2400,13108345,96208
2500,13549591,100304
2600,14595996,98641
2700,14872225,105948
2800,15544749,116808
2900,16042773,117011
3000,16821312,124981
3100,17350458,115380
3200,17994655,124571
3300,18814184,138998
3400,19225312,135050
3500,20065504,142151
3600,20224523,146031
3700,20960889,149853
3800,21956002,154522
3900,22052405,152656
4000,22632117,158439
4100,23177548,172675
4200,24424300,168469
4300,24770318,172929
4400,24963458,179695
4500,26074614,182333
4600,26306952,189329
4700,26901783,188550
4800,28150278,195459
4900,28997925,195566
5000,29004944,206284
5100,29979506,209464
5200,31156642,208331
5300,31682264,216367
5400,31679378,226838
5500,33462256,216755
5600,33903872,225704
5700,34451331,234640
5800,34880808,239773
5900,36724834,247721
6000,36650663,239110
6100,38269066,252782
6200,38064015,245158
6300,39879663,259447
6400,39683693,263627
6500,41579452,269349
6600,41931585,265410
6700,43643134,262780
6800,42930052,270567
6900,44941380,270583
7000,46029156,290596
7100,45579108,286353
7200,46100104,291463
7300,48708700,299825
7400,48648544,314905
7500,48681026,307950
7600,50731587,295644
7700,50674202,311767
7800,51523003,314196
7900,52005948,324738
8000,53473731,339769
8100,54703851,334548
8200,54947343,332195
8300,55356558,324145
8400,56031008,329347
8500,57588756,340291
8600,57793247,344445
8700,60110489,344085
8800,60478471,353908
8900,61021467,363215
9000,61835399,373203
9100,62424769,370764
9200,65679279,375179
9300,64167904,371897
9400,65630668,384141
9500,67404154,382831
9600,67307024,388551
9700,68020863,392725
9800,68264420,391226
9900,70437863,405326
10000,71018321,409271
